pair_id,family_id,asset_a_id,asset_b_id,label,scenario,split
V3-001,V3-FAMILY-IND_DEP_BAL_DAY_ALL,IND_DEP_BAL_DAY_ALL,IND_DEP_BAL_DAY_ALL_DUP,DUPLICATE,DUPLICATE_SUBQUERY_REWRITE,TEST
V3-002,V3-FAMILY-IND_DEP_BAL_DAY_ALL,IND_DEP_BAL_DAY_ALL,IND_DEP_BAL_DAY_ALL_HARD,NOT_DUPLICATE,HARD_TIME_GRAIN_CONFLICT,TEST
V3-003,V3-FAMILY-IND_DEP_BAL_DAY_ALL,IND_DEP_BAL_DAY_ALL,DIST_LOAN_000,NOT_DUPLICATE,CLEAR_CROSS_DOMAIN,TEST
V3-004,V3-FAMILY-IND_DEP_BAL_DAY_ACTIVE,IND_DEP_BAL_DAY_ACTIVE,IND_DEP_BAL_DAY_ACTIVE_DUP,DUPLICATE,DUPLICATE_SUBQUERY_REWRITE,TEST
V3-005,V3-FAMILY-IND_DEP_BAL_DAY_ACTIVE,IND_DEP_BAL_DAY_ACTIVE,IND_DEP_BAL_DAY_ACTIVE_HARD,NOT_DUPLICATE,HARD_DATE_FIELD_CONFLICT,TEST
V3-006,V3-FAMILY-IND_DEP_BAL_DAY_ACTIVE,IND_DEP_BAL_DAY_ACTIVE,DIST_LOAN_001,NOT_DUPLICATE,CLEAR_CROSS_DOMAIN,TEST
V3-007,V3-FAMILY-IND_DEP_BAL_DAY_CNY,IND_DEP_BAL_DAY_CNY,IND_DEP_BAL_DAY_CNY_DUP,DUPLICATE,DUPLICATE_SUBQUERY_REWRITE,TEST
V3-008,V3-FAMILY-IND_DEP_BAL_DAY_CNY,IND_DEP_BAL_DAY_CNY,IND_DEP_BAL_DAY_CNY_HARD,NOT_DUPLICATE,HARD_MEASURE_CONFLICT,TEST
V3-009,V3-FAMILY-IND_DEP_BAL_DAY_CNY,IND_DEP_BAL_DAY_CNY,DIST_LOAN_002,NOT_DUPLICATE,CLEAR_CROSS_DOMAIN,TEST
V3-010,V3-FAMILY-IND_DEP_BAL_MONTH_ALL,IND_DEP_BAL_MONTH_ALL,IND_DEP_BAL_MONTH_ALL_DUP,DUPLICATE,DUPLICATE_SUBQUERY_REWRITE,TEST
V3-011,V3-FAMILY-IND_DEP_BAL_MONTH_ALL,IND_DEP_BAL_MONTH_ALL,IND_DEP_BAL_MONTH_ALL_HARD,NOT_DUPLICATE,HARD_CURRENCY_SCOPE_CONFLICT,TEST
V3-012,V3-FAMILY-IND_DEP_BAL_MONTH_ALL,IND_DEP_BAL_MONTH_ALL,DIST_LOAN_003,NOT_DUPLICATE,CLEAR_CROSS_DOMAIN,TEST
V3-013,V3-FAMILY-IND_DEP_BAL_MONTH_ACTIVE,IND_DEP_BAL_MONTH_ACTIVE,IND_DEP_BAL_MONTH_ACTIVE_DUP,DUPLICATE,DUPLICATE_SUBQUERY_REWRITE,TEST
V3-014,V3-FAMILY-IND_DEP_BAL_MONTH_ACTIVE,IND_DEP_BAL_MONTH_ACTIVE,IND_DEP_BAL_MONTH_ACTIVE_HARD,NOT_DUPLICATE,HARD_TIME_GRAIN_CONFLICT,TEST
V3-015,V3-FAMILY-IND_DEP_BAL_MONTH_ACTIVE,IND_DEP_BAL_MONTH_ACTIVE,DIST_LOAN_004,NOT_DUPLICATE,CLEAR_CROSS_DOMAIN,TEST
V3-016,V3-FAMILY-IND_DEP_BAL_MONTH_CNY,IND_DEP_BAL_MONTH_CNY,IND_DEP_BAL_MONTH_CNY_DUP,DUPLICATE,DUPLICATE_SUBQUERY_REWRITE,TEST
V3-017,V3-FAMILY-IND_DEP_BAL_MONTH_CNY,IND_DEP_BAL_MONTH_CNY,IND_DEP_BAL_MONTH_CNY_HARD,NOT_DUPLICATE,HARD_DATE_FIELD_CONFLICT,TEST
V3-018,V3-FAMILY-IND_DEP_BAL_MONTH_CNY,IND_DEP_BAL_MONTH_CNY,DIST_LOAN_005,NOT_DUPLICATE,CLEAR_CROSS_DOMAIN,TEST
V3-019,V3-FAMILY-IND_DEP_BAL_QUARTER_ALL,IND_DEP_BAL_QUARTER_ALL,IND_DEP_BAL_QUARTER_ALL_DUP,DUPLICATE,DUPLICATE_SUBQUERY_REWRITE,TEST
V3-020,V3-FAMILY-IND_DEP_BAL_QUARTER_ALL,IND_DEP_BAL_QUARTER_ALL,IND_DEP_BAL_QUARTER_ALL_HARD,NOT_DUPLICATE,HARD_MEASURE_CONFLICT,TEST
V3-021,V3-FAMILY-IND_DEP_BAL_QUARTER_ALL,IND_DEP_BAL_QUARTER_ALL,DIST_LOAN_006,NOT_DUPLICATE,CLEAR_CROSS_DOMAIN,TEST
V3-022,V3-FAMILY-IND_DEP_BAL_QUARTER_ACTIVE,IND_DEP_BAL_QUARTER_ACTIVE,IND_DEP_BAL_QUARTER_ACTIVE_DUP,DUPLICATE,DUPLICATE_CTE_REWRITE,DEV
V3-023,V3-FAMILY-IND_DEP_BAL_QUARTER_ACTIVE,IND_DEP_BAL_QUARTER_ACTIVE,IND_DEP_BAL_QUARTER_ACTIVE_HARD,NOT_DUPLICATE,HARD_FILTER_CONFLICT,DEV
V3-024,V3-FAMILY-IND_DEP_BAL_QUARTER_ACTIVE,IND_DEP_BAL_QUARTER_ACTIVE,DIST_LOAN_007,NOT_DUPLICATE,CLEAR_CROSS_DOMAIN,DEV
V3-025,V3-FAMILY-IND_DEP_BAL_QUARTER_CNY,IND_DEP_BAL_QUARTER_CNY,IND_DEP_BAL_QUARTER_CNY_DUP,DUPLICATE,DUPLICATE_SUBQUERY_REWRITE,TEST
V3-026,V3-FAMILY-IND_DEP_BAL_QUARTER_CNY,IND_DEP_BAL_QUARTER_CNY,IND_DEP_BAL_QUARTER_CNY_HARD,NOT_DUPLICATE,HARD_TIME_GRAIN_CONFLICT,TEST
V3-027,V3-FAMILY-IND_DEP_BAL_QUARTER_CNY,IND_DEP_BAL_QUARTER_CNY,DIST_LOAN_008,NOT_DUPLICATE,CLEAR_CROSS_DOMAIN,TEST
V3-028,V3-FAMILY-IND_DEP_FLOW_DAY_ALL,IND_DEP_FLOW_DAY_ALL,IND_DEP_FLOW_DAY_ALL_DUP,DUPLICATE,DUPLICATE_SUBQUERY_REWRITE,TEST
V3-029,V3-FAMILY-IND_DEP_FLOW_DAY_ALL,IND_DEP_FLOW_DAY_ALL,IND_DEP_FLOW_DAY_ALL_HARD,NOT_DUPLICATE,HARD_DATE_FIELD_CONFLICT,TEST
V3-030,V3-FAMILY-IND_DEP_FLOW_DAY_ALL,IND_DEP_FLOW_DAY_ALL,DIST_LOAN_009,NOT_DUPLICATE,CLEAR_CROSS_DOMAIN,TEST
V3-031,V3-FAMILY-IND_DEP_FLOW_DAY_ACTIVE,IND_DEP_FLOW_DAY_ACTIVE,IND_DEP_FLOW_DAY_ACTIVE_DUP,DUPLICATE,DUPLICATE_CTE_REWRITE,DEV
