pair_id,family_id,asset_a_id,asset_b_id,label,scenario,split
PAIR-001,FAMILY-ODS_CLIENT,ODS_CLIENT,ODS_CLIENT_DUP,DUPLICATE,DUPLICATE_EQUIVALENT_REWRITE,DEV
PAIR-002,FAMILY-ODS_DEPOSIT_ACCOUNT,ODS_DEPOSIT_ACCOUNT,ODS_DEPOSIT_ACCOUNT_DUP,DUPLICATE,DUPLICATE_EQUIVALENT_REWRITE,DEV
PAIR-003,FAMILY-ODS_DEPOSIT_TRANSACTION,ODS_DEPOSIT_TRANSACTION,ODS_DEPOSIT_TRANSACTION_DUP,DUPLICATE,DUPLICATE_EQUIVALENT_REWRITE,TEST
PAIR-004,FAMILY-ODS_LOAN_ACCOUNT,ODS_LOAN_ACCOUNT,ODS_LOAN_ACCOUNT_DUP,DUPLICATE,DUPLICATE_EQUIVALENT_REWRITE,DEV
PAIR-005,FAMILY-DWD_CUSTOMER,DWD_CUSTOMER,DWD_CUSTOMER_DUP,DUPLICATE,DUPLICATE_EQUIVALENT_REWRITE,DEV
PAIR-006,FAMILY-DWD_DEPOSIT_ACCOUNT,DWD_DEPOSIT_ACCOUNT,DWD_DEPOSIT_ACCOUNT_DUP,DUPLICATE,DUPLICATE_EQUIVALENT_REWRITE,DEV
PAIR-007,FAMILY-DWD_DEPOSIT_TRANSACTION,DWD_DEPOSIT_TRANSACTION,DWD_DEPOSIT_TRANSACTION_DUP,DUPLICATE,DUPLICATE_EQUIVALENT_REWRITE,DEV
PAIR-008,FAMILY-DWD_LOAN_ACCOUNT,DWD_LOAN_ACCOUNT,DWD_LOAN_ACCOUNT_DUP,DUPLICATE,DUPLICATE_EQUIVALENT_REWRITE,TEST
PAIR-009,FAMILY-DWD_LOAN_TRANSACTION,DWD_LOAN_TRANSACTION,DWD_LOAN_TRANSACTION_DUP,DUPLICATE,DUPLICATE_EQUIVALENT_REWRITE,DEV
PAIR-010,FAMILY-DWD_GL_JOURNAL,DWD_GL_JOURNAL,DWD_GL_JOURNAL_DUP,DUPLICATE,DUPLICATE_EQUIVALENT_REWRITE,TEST
PAIR-011,FAMILY-DWS_CUSTOMER_DAILY_DEPOSIT_BALANCE,DWS_CUSTOMER_DAILY_DEPOSIT_BALANCE,DWS_CUSTOMER_DAILY_DEPOSIT_BALANCE_DUP,DUPLICATE,DUPLICATE_EQUIVALENT_REWRITE,DEV
PAIR-012,FAMILY-DWS_CUSTOMER_MONTH_DEPOSIT_FLOW,DWS_CUSTOMER_MONTH_DEPOSIT_FLOW,DWS_CUSTOMER_MONTH_DEPOSIT_FLOW_DUP,DUPLICATE,DUPLICATE_EQUIVALENT_REWRITE,TEST
PAIR-013,FAMILY-DWS_CUSTOMER_LOAN_OUTSTANDING,DWS_CUSTOMER_LOAN_OUTSTANDING,DWS_CUSTOMER_LOAN_OUTSTANDING_DUP,DUPLICATE,DUPLICATE_EQUIVALENT_REWRITE,DEV
PAIR-014,FAMILY-DWS_CUSTOMER_MONTH_LOAN_PAYMENT,DWS_CUSTOMER_MONTH_LOAN_PAYMENT,DWS_CUSTOMER_MONTH_LOAN_PAYMENT_DUP,DUPLICATE,DUPLICATE_EQUIVALENT_REWRITE,DEV
PAIR-015,FAMILY-DWS_OFFICE_DAILY_GL,DWS_OFFICE_DAILY_GL,DWS_OFFICE_DAILY_GL_DUP,DUPLICATE,DUPLICATE_EQUIVALENT_REWRITE,DEV
