case_id,category,common_validation_errors,common_validation_valid,created_at,difficulty,discovered_joins,evaluation_policy_violations,execution_result_hash,execution_succeeded,explain_passed,failure_category,failure_reason,generated_sql,gold,latency_ms,ontology_policy_errors,ontology_policy_valid,predicted_status,question,raw_model_output,referenced_columns,referenced_tables,retrieved_columns,retrieved_context,retrieved_tables,run_id,selected_sql_asset_id,selected_template_rank,semantic_output,sql_asset_candidates,sql_rewrite,status,success,template_adopted,template_compatible,template_rejection_reasons,token_usage
basic-01,基础指标,[],True,2026-07-30T02:56:57.605092Z,easy,[],"[""Missing required metric filter: transaction_status = POSTED""]",9874d819290d9fa4d409a8e16992a70a7016a8c142233ad55618cb3831455b59,True,True,BUSINESS_POLICY_ERROR,Missing required metric filter: transaction_status = POSTED,SELECT txn_amount_cny FROM dwd_card_transaction,"{""columns"": [""dwd_card_transaction.transaction_status"", ""dwd_card_transaction.txn_amount_cny""], ""dimension_ids"": [], ""expected_status"": ""success"", ""joins"": [], ""metric_ids"": [""transaction_amount""], ""result_hash"": ""30908c6af98d63d34fc8dabd0e99c8441dc8328f7505704da6a9b4959b83b34c"", ""semantic_filters"": [], ""sql"": ""SELECT SUM(t.txn_amount_cny) AS transaction_amount FROM dwd_card_transaction t WHERE t.transaction_status = 'POSTED'"", ""tables"": [""dwd_card_transaction""], ""time_range"": {""kind"": ""none""}}",1010.73,,,success,查询交易金额,"```sql
SELECT txn_amount_cny FROM dwd_card_transaction;
```",[],"[""dwd_card_transaction""]",[],,[],271cb981-8076-4956-b660-3272523bf880,,,,,,COMPLETED,False,,,{},"{""input_tokens"": 2652, ""output_tokens"": 17, ""total_tokens"": 2669}"
basic-02,基础指标,[],True,2026-07-30T02:56:58.423309Z,easy,[],"[""Missing required metric filter: transaction_status = POSTED"", ""Missing required metric filter: card_type = CREDIT""]",cff1441d1554b64fda6fe4e104c6e2c1f3ca473a6711d2dbbe726c81cc7feb4a,True,True,BUSINESS_POLICY_ERROR,Missing required metric filter: transaction_status = POSTED; Missing required metric filter: card_type = CREDIT,"SELECT SUM(txn_amount_cny) AS total_credit_card_amount
FROM dwd_card_transaction
WHERE card_type = 'credit'","{""columns"": [""dwd_card_transaction.card_type"", ""dwd_card_transaction.transaction_status"", ""dwd_card_transaction.txn_amount_cny""], ""dimension_ids"": [], ""expected_status"": ""success"", ""joins"": [], ""metric_ids"": [""credit_card_transaction_amount""], ""result_hash"": ""8fc4c944ae49f0cd8d3ebdc39554733d3bf1bf8c246d8d96c7d509ec2ce4fb65"", ""semantic_filters"": [], ""sql"": ""SELECT SUM(t.txn_amount_cny) AS credit_card_transaction_amount FROM dwd_card_transaction t WHERE t.transaction_status = 'POSTED' AND t.card_type = 'CREDIT'"", ""tables"": [""dwd_card_transaction""], ""time_range"": {""kind"": ""none""}}",812.78,,,success,统计信用卡交易金额,"```sql
SELECT SUM(txn_amount_cny) AS total_credit_card_amount
FROM dwd_card_transaction
WHERE card_type = 'credit';
```",[],"[""dwd_card_transaction""]",[],,[],271cb981-8076-4956-b660-3272523bf880,,,,,,COMPLETED,False,,,{},"{""input_tokens"": 2653, ""output_tokens"": 33, ""total_tokens"": 2686}"
basic-03,基础指标,[],True,2026-07-30T02:56:59.338252Z,easy,[],"[""Missing required metric filter: transaction_status = POSTED""]",e55e5800a229f6833f34fff66df8aad5a333a6bda5fc2cdbe8b479dba1382ce6,True,True,BUSINESS_POLICY_ERROR,Missing required metric filter: transaction_status = POSTED,"SELECT COUNT(*) AS transaction_count
FROM dwd_card_transaction","{""columns"": [""dwd_card_transaction.transaction_id"", ""dwd_card_transaction.transaction_status""], ""dimension_ids"": [], ""expected_status"": ""success"", ""joins"": [], ""metric_ids"": [""transaction_count""], ""result_hash"": ""082a6289bb7a8a437a316537009c7aed92c32a663d5f03915d613181de3dc998"", ""semantic_filters"": [], ""sql"": ""SELECT COUNT(DISTINCT t.transaction_id) AS transaction_count FROM dwd_card_transaction t WHERE t.transaction_status = 'POSTED'"", ""tables"": [""dwd_card_transaction""], ""time_range"": {""kind"": ""none""}}",907.01,,,success,查询交易笔数,"```sql
SELECT COUNT(*) AS transaction_count
FROM dwd_card_transaction;
```",[],"[""dwd_card_transaction""]",[],,[],271cb981-8076-4956-b660-3272523bf880,,,,,,COMPLETED,False,,,{},"{""input_tokens"": 2653, ""output_tokens"": 18, ""total_tokens"": 2671}"
basic-04,基础指标,[],True,2026-07-30T02:57:00.754896Z,easy,[],"[""Missing required metric filter: transaction_status = POSTED"", ""Missing required metric filter: card_type = CREDIT""]",63e3449ae6a79dca7f930c6be151381fbb0a61897a42ca654de8477f4fac7cc2,True,True,BUSINESS_POLICY_ERROR,Missing required metric filter: transaction_status = POSTED; Missing required metric filter: card_type = CREDIT,"SELECT COUNT(*) AS credit_card_transaction_count
FROM dwd_card_transaction
WHERE card_type = '信用卡'","{""columns"": [""dwd_card_transaction.card_type"", ""dwd_card_transaction.transaction_id"", ""dwd_card_transaction.transaction_status""], ""dimension_ids"": [], ""expected_status"": ""success"", ""joins"": [], ""metric_ids"": [""credit_card_transaction_count""], ""result_hash"": ""25cf54dc86c9446c3fb104e24f89d6e52b24e65b5fbf06136ffdf717a6128b67"", ""semantic_filters"": [], ""sql"": ""SELECT COUNT(DISTINCT t.transaction_id) AS credit_card_transaction_count FROM dwd_card_transaction t WHERE t.transaction_status = 'POSTED' AND t.card_type = 'CREDIT'"", ""tables"": [""dwd_card_transaction""], ""time_range"": {""kind"": ""none""}}",1412.58,,,success,统计信用卡交易笔数,"```sql
SELECT COUNT(*) AS credit_card_transaction_count
FROM dwd_card_transaction
WHERE card_type = '信用卡';
```",[],"[""dwd_card_transaction""]",[],,[],271cb981-8076-4956-b660-3272523bf880,,,,,,COMPLETED,False,,,{},"{""input_tokens"": 2654, ""output_tokens"": 28, ""total_tokens"": 2682}"
basic-05,基础指标,[],True,2026-07-30T02:57:01.901521Z,easy,[],"[""Missing required metric filter: transaction_status = POSTED""]",ac4215ec04b21477e9c38aaab4de57d9064aba01f23d15da2660cbc357067077,True,True,BUSINESS_POLICY_ERROR,Missing required metric filter: transaction_status = POSTED,"SELECT AVG(txn_amount_cny) AS avg_transaction_amount
FROM dwd_card_transaction","{""columns"": [""dwd_card_transaction.transaction_status"", ""dwd_card_transaction.txn_amount_cny""], ""dimension_ids"": [], ""expected_status"": ""success"", ""joins"": [], ""metric_ids"": [""average_transaction_amount""], ""result_hash"": ""faaa217e573df6437ba76645ca5511062193a4d73ce259fb20b40e805ef88e6d"", ""semantic_filters"": [], ""sql"": ""SELECT AVG(t.txn_amount_cny) AS average_transaction_amount FROM dwd_card_transaction t WHERE t.transaction_status = 'POSTED'"", ""tables"": [""dwd_card_transaction""], ""time_range"": {""kind"": ""none""}}",1137.1,,,success,查询平均交易金额,"```sql
SELECT AVG(txn_amount_cny) AS avg_transaction_amount
FROM dwd_card_transaction;
```",[],"[""dwd_card_transaction""]",[],,[],271cb981-8076-4956-b660-3272523bf880,,,,,,COMPLETED,False,,,{},"{""input_tokens"": 2653, ""output_tokens"": 26, ""total_tokens"": 2679}"
basic-06,基础指标,[],True,2026-07-30T02:57:02.880572Z,easy,[],"[""Missing required metric filter: transaction_status = POSTED""]",172bbf24a5baa51d67384f496dc33ce29f71ed989c01e49e6dd710a1046f135c,True,True,BUSINESS_POLICY_ERROR,Missing required metric filter: transaction_status = POSTED,"SELECT COUNT(DISTINCT c.customer_id) AS active_customer_count
FROM dim_customer c
WHERE EXISTS (
    SELECT 1
    FROM dwd_card_transaction t
    WHERE t.customer_id = c.customer_id
)","{""columns"": [""dwd_card_transaction.customer_id"", ""dwd_card_transaction.transaction_status""], ""dimension_ids"": [], ""expected_status"": ""success"", ""joins"": [], ""metric_ids"": [""active_customer_count""], ""result_hash"": ""172bbf24a5baa51d67384f496dc33ce29f71ed989c01e49e6dd710a1046f135c"", ""semantic_filters"": [], ""sql"": ""SELECT COUNT(DISTINCT t.customer_id) AS active_customer_count FROM dwd_card_transaction t WHERE t.transaction_status = 'POSTED'"", ""tables"": [""dwd_card_transaction""], ""time_range"": {""kind"": ""none""}}",973.76,,,success,查询活跃客户数,"```sql
SELECT COUNT(DISTINCT c.customer_id) AS active_customer_count
FROM dim_customer c
WHERE EXISTS (
    SELECT 1
    FROM dwd_card_transaction t
    WHERE t.customer_id = c.customer_id
);
```","[""dim_customer.customer_id"", ""dwd_card_transaction.customer_id""]","[""dim_customer"", ""dwd_card_transaction""]",[],,[],271cb981-8076-4956-b660-3272523bf880,,,,,,COMPLETED,False,,,{},"{""input_tokens"": 2653, ""output_tokens"": 56, ""total_tokens"": 2709}"
basic-07,基础指标,[],True,2026-07-30T02:57:04.829527Z,easy,[],"[""Missing required metric filter: transaction_status = POSTED""]",307ab5779d11fe17b316880e94bbd2f68782bb6c4e87acc8f15df093604d68a8,True,True,BUSINESS_POLICY_ERROR,Missing required metric filter: transaction_status = POSTED,"SELECT SUM(txn_amount_cny) AS total_posted_amount
FROM dwd_card_transaction
WHERE transaction_status = 'posted'","{""columns"": [""dwd_card_transaction.transaction_status"", ""dwd_card_transaction.txn_amount_cny""], ""dimension_ids"": [], ""expected_status"": ""success"", ""joins"": [], ""metric_ids"": [""transaction_amount""], ""result_hash"": ""30908c6af98d63d34fc8dabd0e99c8441dc8328f7505704da6a9b4959b83b34c"", ""semantic_filters"": [], ""sql"": ""SELECT SUM(t.txn_amount_cny) AS transaction_amount FROM dwd_card_transaction t WHERE t.transaction_status = 'POSTED'"", ""tables"": [""dwd_card_transaction""], ""time_range"": {""kind"": ""none""}}",1942.82,,,success,统计全部已入账交易额,"SELECT SUM(txn_amount_cny) AS total_posted_amount
FROM dwd_card_transaction
WHERE transaction_status = 'posted';",[],"[""dwd_card_transaction""]",[],,[],271cb981-8076-4956-b660-3272523bf880,,,,,,COMPLETED,False,,,{},"{""input_tokens"": 2656, ""output_tokens"": 28, ""total_tokens"": 2684}"
basic-08,基础指标,[],True,2026-07-30T02:57:05.874428Z,easy,[],"[""Missing required metric filter: transaction_status = POSTED"", ""Missing required metric filter: card_type = CREDIT""]",6d81f81020c5f4886660a4cfec829d2ca9c0b3cc90c098064a76099fec03b074,True,True,BUSINESS_POLICY_ERROR,Missing required metric filter: transaction_status = POSTED; Missing required metric filter: card_type = CREDIT,"SELECT SUM(txn_amount_cny) AS total_credit_card_spending
FROM dwd_card_transaction
WHERE card_type = '贷记卡'","{""columns"": [""dwd_card_transaction.card_type"", ""dwd_card_transaction.transaction_status"", ""dwd_card_transaction.txn_amount_cny""], ""dimension_ids"": [], ""expected_status"": ""success"", ""joins"": [], ""metric_ids"": [""credit_card_transaction_amount""], ""result_hash"": ""8fc4c944ae49f0cd8d3ebdc39554733d3bf1bf8c246d8d96c7d509ec2ce4fb65"", ""semantic_filters"": [], ""sql"": ""SELECT SUM(t.txn_amount_cny) AS credit_card_transaction_amount FROM dwd_card_transaction t WHERE t.transaction_status = 'POSTED' AND t.card_type = 'CREDIT'"", ""tables"": [""dwd_card_transaction""], ""time_range"": {""kind"": ""none""}}",1040.62,,,success,计算贷记卡消费金额,"```sql
SELECT SUM(txn_amount_cny) AS total_credit_card_spending
FROM dwd_card_transaction
WHERE card_type = '贷记卡';
```",[],"[""dwd_card_transaction""]",[],,[],271cb981-8076-4956-b660-3272523bf880,,,,,,COMPLETED,False,,,{},"{""input_tokens"": 2654, ""output_tokens"": 35, ""total_tokens"": 2689}"
basic-09,基础指标,[],True,2026-07-30T02:57:07.820886Z,easy,[],"[""Missing required metric filter: transaction_status = POSTED""]",e55e5800a229f6833f34fff66df8aad5a333a6bda5fc2cdbe8b479dba1382ce6,True,True,BUSINESS_POLICY_ERROR,Missing required metric filter: transaction_status = POSTED,SELECT COUNT(*) AS transaction_count FROM dwd_card_transaction,"{""columns"": [""dwd_card_transaction.transaction_id"", ""dwd_card_transaction.transaction_status""], ""dimension_ids"": [], ""expected_status"": ""success"", ""joins"": [], ""metric_ids"": [""transaction_count""], ""result_hash"": ""082a6289bb7a8a437a316537009c7aed92c32a663d5f03915d613181de3dc998"", ""semantic_filters"": [], ""sql"": ""SELECT COUNT(DISTINCT t.transaction_id) AS transaction_count FROM dwd_card_transaction t WHERE t.transaction_status = 'POSTED'"", ""tables"": [""dwd_card_transaction""], ""time_range"": {""kind"": ""none""}}",1941.81,,,success,统计流水笔数,"```sql
SELECT COUNT(*) AS transaction_count FROM dwd_card_transaction;
```",[],"[""dwd_card_transaction""]",[],,[],271cb981-8076-4956-b660-3272523bf880,,,,,,COMPLETED,False,,,{},"{""input_tokens"": 2653, ""output_tokens"": 17, ""total_tokens"": 2670}"
basic-10,基础指标,[],True,2026-07-30T02:57:09.236346Z,easy,"[""dwd_card_transaction.customer_id = dim_customer.customer_id""]","[""Missing required metric filter: transaction_status = POSTED""]",ad0c223f79efbe94c3eb703294b4e0f5ff17b3463d74a0f1f3324e7869a204b5,True,True,BUSINESS_POLICY_ERROR,Missing required metric filter: transaction_status = POSTED,"SELECT 
    d.customer_id,
    SUM(t.txn_amount_cny) / COUNT(DISTINCT t.transaction_id) AS avg_revenue_per_transaction
FROM dwd_card_transaction t
JOIN dim_customer d ON t.customer_id = d.customer_id
GROUP BY d.customer_id","{""columns"": [""dwd_card_transaction.transaction_status"", ""dwd_card_transaction.txn_amount_cny""], ""dimension_ids"": [], ""expected_status"": ""success"", ""joins"": [], ""metric_ids"": [""average_transaction_amount""], ""result_hash"": ""faaa217e573df6437ba76645ca5511062193a4d73ce259fb20b40e805ef88e6d"", ""semantic_filters"": [], ""sql"": ""SELECT AVG(t.txn_amount_cny) AS average_transaction_amount FROM dwd_card_transaction t WHERE t.transaction_status = 'POSTED'"", ""tables"": [""dwd_card_transaction""], ""time_range"": {""kind"": ""none""}}",1408.42,,,success,查询客单价,"```sql
SELECT 
    d.customer_id,
    SUM(t.txn_amount_cny) / COUNT(DISTINCT t.transaction_id) AS avg_revenue_per_transaction
FROM dwd_card_transaction t
JOIN dim_customer d ON t.customer_id = d.customer_id
GROUP BY d.customer_id;
```","[""dim_customer.customer_id"", ""dwd_card_transaction.customer_id"", ""dwd_card_transaction.transaction_id"", ""dwd_card_transaction.txn_amount_cny""]","[""dim_customer"", ""dwd_card_transaction""]",[],,[],271cb981-8076-4956-b660-3272523bf880,,,,,,COMPLETED,False,,,{},"{""input_tokens"": 2652, ""output_tokens"": 71, ""total_tokens"": 2723}"
